"Essay","Line","Role","Action","Old","New","Caption","Alt","SourceUrl"
"biter-the-slang-word-that-hits","8","hero","recover_original","/images/medium/biter-the-slang-word-that-hits/2ea529440f66f2021477a8c9a3b5b45cdb9e09a0048a61cc9a9e995dc082bb7e.svg","/images/essays/biter-the-slang-word-that-hits/hero-cassette.jpg","Photo by Markus Spiske on Unsplash","Cassette tape photographed in soft light.","https://cdn-images-1.medium.com/max/800/0*B28O7hH4PKuEfoYy"
"biter-the-slang-word-that-hits","41","body","recover_original","/images/medium/biter-the-slang-word-that-hits/415df01dc3e7120cd320f548761ad2d89cc559ea012996eab6c259546844e0c8.svg","/images/essays/biter-the-slang-word-that-hits/performer.jpg","Photo by Harry Swales on Unsplash","Performer holding a microphone on stage.","https://cdn-images-1.medium.com/max/800/0*GfA6AdX-HhMVXuKt"
"biter-the-slang-word-that-hits","59","body","recover_original","/images/medium/biter-the-slang-word-that-hits/66cc83ebcb48b6cbd7ef65976f5c129aa0e872e892ac02dcf1448c1625bbb40a.svg","/images/essays/biter-the-slang-word-that-hits/style-fashion.jpg","Photo by Peter Plashkin on Unsplash","Fashion subject in a red outfit on white steps.","https://cdn-images-1.medium.com/max/800/0*fUHsC_etPXiau_tP"
"biter-the-slang-word-that-hits","83","body","recover_original","/images/medium/biter-the-slang-word-that-hits/424538ec38f6730f2ce2f77803530e79e15de1a3c9ebb9776ddcac08f439c01a.svg","/images/essays/biter-the-slang-word-that-hits/teeth.jpg","Photo by Enis Yavuz on Unsplash","Dental model representing teeth and bite.","https://cdn-images-1.medium.com/max/800/0*GgtsG0nSkQ9Im2w1"
"rethinking-invasive-species-management","8","hero","recover_original","/images/medium/rethinking-invasive-species-management/b2abf9b790de4f5931aecbfc1efab23d8192a255108fbcd9e9204019fed1b173.svg","/images/essays/rethinking-invasive-species-management/hero-python.jpg","Photo by Michael Jerrard on Unsplash","Close view of a coiled python.","https://cdn-images-1.medium.com/max/800/1*tlPkpjfNhEiNjmVGIf9gSw@2x.jpeg"
"rethinking-invasive-species-management","31","body","remove_decorative","/images/medium/rethinking-invasive-species-management/765ce98cfda62fede58231f05cfacfb8070505720b50faad2647fd476ae53b36.svg","","","","https://cdn-images-1.medium.com/max/800/1*qzSCM3Q5gRTD3e7f2Adssw@2x.jpeg"
"rethinking-invasive-species-management","51","body","remove_decorative","/images/medium/rethinking-invasive-species-management/612a6b63d60dd5b00f8428877630e841846d2152083ffe5359c8ff57beaae510.svg","","Photo by Joshua J. Cotten on Unsplash","","https://cdn-images-1.medium.com/max/800/1*QDDlXkevaEIjcSJIWXAkGw@2x.jpeg"
"rethinking-invasive-species-management","82","body","remove_decorative","/images/medium/rethinking-invasive-species-management/0ba6e760f5351babac78bbbad83b6a0d95a8ff8f569b0d3c5bbadf04c8477a9b.svg","","Photo by Richard Sagredo on Unsplash","","https://cdn-images-1.medium.com/max/800/1*UfjpBpU4qI6UlnyWZH6-Hg@2x.jpeg"
"rethinking-invasive-species-management","109","body","recover_original","/images/medium/rethinking-invasive-species-management/07b23bbafdf202e686076e3281df54738326756ac40482a211fe64dbfdb741a3.svg","/images/essays/rethinking-invasive-species-management/python-pet-trade.jpg","Photo by Joshua J. Cotten on Unsplash","Burmese pythons coiled together.","https://cdn-images-1.medium.com/max/800/1*6jWU3bdBvfmxfb_GC2p10g@2x.jpeg"
"rethinking-invasive-species-management","123","body","remove_decorative","/images/medium/rethinking-invasive-species-management/876527525d914ed63271662972be423cec815233ea02584362a9ab90ce5fcaf9.svg","","","","https://cdn-images-1.medium.com/max/800/1*dduNHtYNbK9RPrKRQCEmRA@2x.jpeg"
"rethinking-invasive-species-management","137","body","recover_original","/images/medium/rethinking-invasive-species-management/20bd037db440020fddd0ccc25fdb07561e482d10fd9c1f4401998507401e4563.svg","/images/essays/rethinking-invasive-species-management/global-shipping.jpg","Photo by william william on Unsplash","Container ships and port cranes seen from above.","https://cdn-images-1.medium.com/max/800/1*89i6dHy1TAV6mP0X0bA-uw@2x.jpeg"
"rethinking-invasive-species-management","149","body","remove_decorative","/images/medium/rethinking-invasive-species-management/5c0975bf2aa7497c8d43d951c541e86cfe24d49884afeefdbe5c776677f73d34.svg","","Photo by Karl Callwood on Unsplash","","https://cdn-images-1.medium.com/max/800/1*295JaOzvm-cdUu-tQjWJkw@2x.jpeg"
