"probe_type","title","priority_tier","kind","path","url","status_code","final_url","canonical_href","robots","has_og_image","has_twitter_image","rss_feed_count","rss_feed_urls","expected_jsonld_type","jsonld_types","smoke_passed","response_client","fallback_reason","issues"
"canonical","Homepage","tier_1","core","/","https://outsideinprint.org/","200","https://outsideinprint.org/","https://outsideinprint.org/","index, follow, max-image-preview:large","True","True","1","System.Object[]","WebSite","System.Object[]","True","powershell","","System.Object[]"
"canonical","About","tier_1","core","/about/","https://outsideinprint.org/about/","200","https://outsideinprint.org/about/","https://outsideinprint.org/about/","index, follow, max-image-preview:large","True","True","1","System.Object[]","AboutPage","System.Object[]","True","powershell","","System.Object[]"
"canonical","Robert V. Ussley","tier_1","core","/authors/robert-v-ussley/","https://outsideinprint.org/authors/robert-v-ussley/","200","https://outsideinprint.org/authors/robert-v-ussley/","https://outsideinprint.org/authors/robert-v-ussley/","index, follow, max-image-preview:large","True","True","1","System.Object[]","ProfilePage","System.Object[]","True","powershell","","System.Object[]"
"canonical","Collections","tier_1","core","/collections/","https://outsideinprint.org/collections/","200","https://outsideinprint.org/collections/","https://outsideinprint.org/collections/","index, follow, max-image-preview:large","True","True","2","System.Object[]","CollectionPage","System.Object[]","True","powershell","","System.Object[]"
"canonical","Risk, Uncertainty, and Decision-Making","tier_1","core","/collections/risk-uncertainty/","https://outsideinprint.org/collections/risk-uncertainty/","200","https://outsideinprint.org/collections/risk-uncertainty/","https://outsideinprint.org/collections/risk-uncertainty/","index, follow, max-image-preview:large","True","True","1","System.Object[]","CollectionPage","System.Object[]","True","powershell","","System.Object[]"
"canonical","Returning to the Gold Standard Will Break the Economy","tier_2","essay","/essays/why-a-return-to-the-gold-standard-would-break-the-economy/","https://outsideinprint.org/essays/why-a-return-to-the-gold-standard-would-break-the-economy/","200","https://outsideinprint.org/essays/why-a-return-to-the-gold-standard-would-break-the-economy/","https://outsideinprint.org/essays/why-a-return-to-the-gold-standard-would-break-the-economy/","index, follow, max-image-preview:large","True","True","1","System.Object[]","Article","System.Object[]","True","powershell","","System.Object[]"
"canonical","The 100-Year Flood Is Not What You Think","tier_2","essay","/essays/the-100-year-flood-is-not-what-you-think/","https://outsideinprint.org/essays/the-100-year-flood-is-not-what-you-think/","200","https://outsideinprint.org/essays/the-100-year-flood-is-not-what-you-think/","https://outsideinprint.org/essays/the-100-year-flood-is-not-what-you-think/","index, follow, max-image-preview:large","True","True","1","System.Object[]","Article","System.Object[]","True","powershell","","System.Object[]"
"canonical","2025 Supreme Court Wrap-Up","tier_2","essay","/essays/2025-supreme-court-wrap-up/","https://outsideinprint.org/essays/2025-supreme-court-wrap-up/","200","https://outsideinprint.org/essays/2025-supreme-court-wrap-up/","https://outsideinprint.org/essays/2025-supreme-court-wrap-up/","index, follow, max-image-preview:large","True","True","1","System.Object[]","Article","System.Object[]","True","powershell","","System.Object[]"
"canonical","What Is Risk? A Four-Part Framework","tier_2","essay","/essays/what-is-risk-a-four-part-framework/","https://outsideinprint.org/essays/what-is-risk-a-four-part-framework/","200","https://outsideinprint.org/essays/what-is-risk-a-four-part-framework/","https://outsideinprint.org/essays/what-is-risk-a-four-part-framework/","index, follow, max-image-preview:large","True","True","1","System.Object[]","Article","System.Object[]","True","powershell","","System.Object[]"
"canonical","35 Years of Yellow: The Simpsons Time Loop","tier_2","essay","/essays/35-years-of-yellow-the-simpsons-time-loop/","https://outsideinprint.org/essays/35-years-of-yellow-the-simpsons-time-loop/","200","https://outsideinprint.org/essays/35-years-of-yellow-the-simpsons-time-loop/","https://outsideinprint.org/essays/35-years-of-yellow-the-simpsons-time-loop/","index, follow, max-image-preview:large","True","True","1","System.Object[]","Article","System.Object[]","True","powershell","","System.Object[]"
"canonical","6 Reasons Redwall Is a Timeless Classic","tier_2","essay","/essays/6-reasons-redwall-is-a-timeless-classic/","https://outsideinprint.org/essays/6-reasons-redwall-is-a-timeless-classic/","200","https://outsideinprint.org/essays/6-reasons-redwall-is-a-timeless-classic/","https://outsideinprint.org/essays/6-reasons-redwall-is-a-timeless-classic/","index, follow, max-image-preview:large","True","True","1","System.Object[]","Article","System.Object[]","True","powershell","","System.Object[]"
"canonical","AI in Education Is a Wicked Problem","tier_2","essay","/essays/ai-in-education-is-a-wicked-problem/","https://outsideinprint.org/essays/ai-in-education-is-a-wicked-problem/","200","https://outsideinprint.org/essays/ai-in-education-is-a-wicked-problem/","https://outsideinprint.org/essays/ai-in-education-is-a-wicked-problem/","index, follow, max-image-preview:large","True","True","1","System.Object[]","Article","System.Object[]","True","powershell","","System.Object[]"
"canonical","The Dolphin Company","tier_2","essay","/essays/the-dolphin-company/","https://outsideinprint.org/essays/the-dolphin-company/","200","https://outsideinprint.org/essays/the-dolphin-company/","https://outsideinprint.org/essays/the-dolphin-company/","index, follow, max-image-preview:large","True","True","1","System.Object[]","Article","System.Object[]","True","powershell","","System.Object[]"
"canonical","The Fair Price of Bitcoin: $69,420","tier_2","essay","/essays/the-fair-price-of-bitcoin-69420/","https://outsideinprint.org/essays/the-fair-price-of-bitcoin-69420/","200","https://outsideinprint.org/essays/the-fair-price-of-bitcoin-69420/","https://outsideinprint.org/essays/the-fair-price-of-bitcoin-69420/","index, follow, max-image-preview:large","True","True","1","System.Object[]","Article","System.Object[]","True","powershell","","System.Object[]"
"canonical","Beyond Moore’s Law","tier_2","essay","/essays/beyond-moores-law/","https://outsideinprint.org/essays/beyond-moores-law/","200","https://outsideinprint.org/essays/beyond-moores-law/","https://outsideinprint.org/essays/beyond-moores-law/","index, follow, max-image-preview:large","True","True","1","System.Object[]","Article","System.Object[]","True","powershell","","System.Object[]"
"legacy","Homepage","tier_1","core","/","https://lpeasy.github.io/outsideinprint/","301","https://outsideinprint.org/",,,,,,,,,,"powershell","",
"legacy","About","tier_1","core","/about/","https://lpeasy.github.io/outsideinprint/about/","301","https://outsideinprint.org/about/",,,,,,,,,,"powershell","",
"legacy","Robert V. Ussley","tier_1","core","/authors/robert-v-ussley/","https://lpeasy.github.io/outsideinprint/authors/robert-v-ussley/","301","https://outsideinprint.org/authors/robert-v-ussley/",,,,,,,,,,"powershell","",
"legacy","Collections","tier_1","core","/collections/","https://lpeasy.github.io/outsideinprint/collections/","301","https://outsideinprint.org/collections/",,,,,,,,,,"powershell","",
"legacy","Risk, Uncertainty, and Decision-Making","tier_1","core","/collections/risk-uncertainty/","https://lpeasy.github.io/outsideinprint/collections/risk-uncertainty/","301","https://outsideinprint.org/collections/risk-uncertainty/",,,,,,,,,,"powershell","",
"legacy","Returning to the Gold Standard Will Break the Economy","tier_2","essay","/essays/why-a-return-to-the-gold-standard-would-break-the-economy/","https://lpeasy.github.io/outsideinprint/essays/why-a-return-to-the-gold-standard-would-break-the-economy/","301","https://outsideinprint.org/essays/why-a-return-to-the-gold-standard-would-break-the-economy/",,,,,,,,,,"powershell","",
"legacy","The 100-Year Flood Is Not What You Think","tier_2","essay","/essays/the-100-year-flood-is-not-what-you-think/","https://lpeasy.github.io/outsideinprint/essays/the-100-year-flood-is-not-what-you-think/","301","https://outsideinprint.org/essays/the-100-year-flood-is-not-what-you-think/",,,,,,,,,,"powershell","",
"legacy","2025 Supreme Court Wrap-Up","tier_2","essay","/essays/2025-supreme-court-wrap-up/","https://lpeasy.github.io/outsideinprint/essays/2025-supreme-court-wrap-up/","301","https://outsideinprint.org/essays/2025-supreme-court-wrap-up/",,,,,,,,,,"powershell","",
"legacy","What Is Risk? A Four-Part Framework","tier_2","essay","/essays/what-is-risk-a-four-part-framework/","https://lpeasy.github.io/outsideinprint/essays/what-is-risk-a-four-part-framework/","301","https://outsideinprint.org/essays/what-is-risk-a-four-part-framework/",,,,,,,,,,"powershell","",
"legacy","35 Years of Yellow: The Simpsons Time Loop","tier_2","essay","/essays/35-years-of-yellow-the-simpsons-time-loop/","https://lpeasy.github.io/outsideinprint/essays/35-years-of-yellow-the-simpsons-time-loop/","301","https://outsideinprint.org/essays/35-years-of-yellow-the-simpsons-time-loop/",,,,,,,,,,"powershell","",
"legacy","6 Reasons Redwall Is a Timeless Classic","tier_2","essay","/essays/6-reasons-redwall-is-a-timeless-classic/","https://lpeasy.github.io/outsideinprint/essays/6-reasons-redwall-is-a-timeless-classic/","301","https://outsideinprint.org/essays/6-reasons-redwall-is-a-timeless-classic/",,,,,,,,,,"powershell","",
"legacy","AI in Education Is a Wicked Problem","tier_2","essay","/essays/ai-in-education-is-a-wicked-problem/","https://lpeasy.github.io/outsideinprint/essays/ai-in-education-is-a-wicked-problem/","301","https://outsideinprint.org/essays/ai-in-education-is-a-wicked-problem/",,,,,,,,,,"powershell","",
"legacy","The Dolphin Company","tier_2","essay","/essays/the-dolphin-company/","https://lpeasy.github.io/outsideinprint/essays/the-dolphin-company/","301","https://outsideinprint.org/essays/the-dolphin-company/",,,,,,,,,,"powershell","",
"legacy","The Fair Price of Bitcoin: $69,420","tier_2","essay","/essays/the-fair-price-of-bitcoin-69420/","https://lpeasy.github.io/outsideinprint/essays/the-fair-price-of-bitcoin-69420/","301","https://outsideinprint.org/essays/the-fair-price-of-bitcoin-69420/",,,,,,,,,,"powershell","",
"legacy","Beyond Moore’s Law","tier_2","essay","/essays/beyond-moores-law/","https://lpeasy.github.io/outsideinprint/essays/beyond-moores-law/","301","https://outsideinprint.org/essays/beyond-moores-law/",,,,,,,,,,"powershell","",
