deduped_record_id,dedupe_key,doi,title,publication_year,publication_date,venue,source_database,url,abstract_availability,matched_query_terms,scenario_families,matched_bau_terms,classification_buckets,source_record_ids,raw_record_count
deduped-000001,doi:10.1001/jama.2017.7218,10.1001/jama.2017.7218,Effect of Depth and Duration of Cooling on Death or Disability at Age 18 Months Among Neonates With Hypoxic-Ischemic Encephalopathy,2017,2017-07-03,JAMA,OpenAlex,https://openalex.org/W2732500064,yes,api-search:RCP 8.5;api-search:RCP-8.5,rcp85,,all-use;impact-study use;needs full-text review,https://openalex.org/W2732500064,1
deduped-000002,doi:10.1001/jamanetworkopen.2020.32064,10.1001/jamanetworkopen.2020.32064,"Associations Between Simulated Future Changes in Climate, Air Quality, and Human Health",2021,2021-01-04,JAMA Network Open,OpenAlex,https://openalex.org/W3119897818,yes,api-search:RCP 8.5;api-search:RCP-8.5;api-search:RCP8.5,rcp85,baseline,BAU/no-policy language;all-use;default/central use;impact-study use;needs full-text review,https://openalex.org/W3119897818,1
deduped-000003,doi:10.1001/jamanetworkopen.2024.34942,10.1001/jamanetworkopen.2024.34942,Projections of Extreme Temperature–Related Deaths in the US,2024,2024-09-20,JAMA Network Open,OpenAlex,https://openalex.org/W4402665888,yes,SSP5-8.5,ssp585,,all-use;impact-study use;needs full-text review;policy/finance/risk use,https://openalex.org/W4402665888,1
deduped-000004,doi:10.1001/jamaneurol.2023.2851,10.1001/jamaneurol.2023.2851,"Efficacy and Safety of Ravulizumab, a Complement C5 Inhibitor, in Adults With Amyotrophic Lateral Sclerosis",2023,2023-09-11,JAMA Neurology,OpenAlex,https://openalex.org/W4386592045,yes,api-search:RCP 8.5;api-search:RCP-8.5,rcp85,baseline,BAU/no-policy language;all-use;default/central use;impact-study use;needs full-text review,https://openalex.org/W4386592045,1
deduped-000005,doi:10.1002/1438-390x.12033,10.1002/1438-390x.12033,Provision of aquatic ecosystem services as a consequence of societal changes: The case of the Baltic Sea,2019,2019-12-22,Population Ecology,OpenAlex,https://openalex.org/W2994879130,yes,api-search:RCP 8.5;api-search:RCP-8.5;api-search:RCP8.5;api-search:SSP5-8.5,rcp85;ssp585,,all-use;impact-study use;needs full-text review;policy/finance/risk use,https://openalex.org/W2994879130,1
deduped-000006,doi:10.1002/14651858.cd002990.pub4,10.1002/14651858.cd002990.pub4,Self-management interventions for people with chronic obstructive pulmonary disease,2022,2022-01-10,Cochrane Database of Systematic Reviews,OpenAlex,https://openalex.org/W4205396971,yes,api-search:RCP 8.5;api-search:RCP-8.5,rcp85,baseline,BAU/no-policy language;all-use;default/central use;impact-study use;needs full-text review;policy/finance/risk use,https://openalex.org/W4205396971,1
deduped-000007,doi:10.1002/2013ef000162,10.1002/2013ef000162,Future Arctic climate changes: Adaptation and mitigation time scales,2013,2013-12-16,Earth s Future,OpenAlex,https://openalex.org/W2072732783,yes,api-search:RCP8.5,rcp85,,all-use;impact-study use;needs full-text review,https://openalex.org/W2072732783,1
deduped-000008,doi:10.1002/2013ef000185,10.1002/2013ef000185,Observational‐ and model‐based trends and projections of extreme precipitation over the contiguous United States,2014,2014-01-23,Earth s Future,OpenAlex,https://openalex.org/W1961437510,yes,api-search:RCP 8.5;api-search:RCP-8.5,rcp85,,all-use;impact-study use;needs full-text review,https://openalex.org/W1961437510,1
deduped-000009,doi:10.1002/2013ef000188,10.1002/2013ef000188,Sea level rise and its coastal impacts,2013,2013-12-16,Earth s Future,OpenAlex,https://openalex.org/W1487177596,yes,api-search:RCP 8.5;api-search:RCP-8.5;api-search:RCP8.5,rcp85,,all-use;impact-study use;needs full-text review,https://openalex.org/W1487177596,1
deduped-000010,doi:10.1002/2013ef000199,10.1002/2013ef000199,Meeting the radiative forcing targets of the representative concentration pathways in a world with agricultural climate impacts,2014,2014-01-23,Earth s Future,OpenAlex,https://openalex.org/W2020936186,yes,api-search:RCP 8.5;api-search:RCP-8.5,rcp85,,all-use;impact-study use;needs full-text review;policy/finance/risk use,https://openalex.org/W2020936186,1
deduped-000011,doi:10.1002/2013eo50,10.1002/2013eo50,"Eos, Transactions, American Geophysical Union Volume 94, Number 50, 10 December 2013",2013,2013-12-10,Eos,OpenAlex,https://openalex.org/W4250589120,yes,api-search:RCP8.5,rcp85,,all-use;impact-study use;needs full-text review,https://openalex.org/W4250589120,1
deduped-000012,doi:10.1002/2013gb004652,10.1002/2013gb004652,Do Trichodesmium spp. populations in the North Atlantic export most of the nitrogen they fix?,2014,2014-01-22,Global Biogeochemical Cycles,OpenAlex,https://openalex.org/W1629109704,yes,api-search:RCP8.5,rcp85,,all-use;impact-study use;needs full-text review,https://openalex.org/W1629109704,1
deduped-000013,doi:10.1002/2013gb004665,10.1002/2013gb004665,Evaluating soil biogeochemistry parameterizations in Earth system models with observations,2014,2014-02-03,Global Biogeochemical Cycles,OpenAlex,https://openalex.org/W1658177534,yes,api-search:RCP 8.5;api-search:RCP-8.5,rcp85,,all-use;impact-study use;needs full-text review,https://openalex.org/W1658177534,1
