raw_record_id,deduped_record_id,dedupe_key,source_database,source_record_id
raw-004791,deduped-000001,doi:10.1001/jama.2017.7218,OpenAlex,https://openalex.org/W2732500064
raw-014294,deduped-000002,doi:10.1001/jamanetworkopen.2020.32064,OpenAlex,https://openalex.org/W3119897818
raw-031029,deduped-000003,doi:10.1001/jamanetworkopen.2024.34942,OpenAlex,https://openalex.org/W4402665888
raw-025980,deduped-000004,doi:10.1001/jamaneurol.2023.2851,OpenAlex,https://openalex.org/W4386592045
raw-010381,deduped-000005,doi:10.1002/1438-390x.12033,OpenAlex,https://openalex.org/W2994879130
raw-018499,deduped-000006,doi:10.1002/14651858.cd002990.pub4,OpenAlex,https://openalex.org/W4205396971
raw-001232,deduped-000007,doi:10.1002/2013ef000162,OpenAlex,https://openalex.org/W2072732783
raw-000613,deduped-000008,doi:10.1002/2013ef000185,OpenAlex,https://openalex.org/W1961437510
raw-000247,deduped-000009,doi:10.1002/2013ef000188,OpenAlex,https://openalex.org/W1487177596
raw-000931,deduped-000010,doi:10.1002/2013ef000199,OpenAlex,https://openalex.org/W2020936186
raw-019946,deduped-000011,doi:10.1002/2013eo50,OpenAlex,https://openalex.org/W4250589120
raw-000368,deduped-000012,doi:10.1002/2013gb004652,OpenAlex,https://openalex.org/W1629109704
raw-000380,deduped-000013,doi:10.1002/2013gb004665,OpenAlex,https://openalex.org/W1658177534
raw-001557,deduped-000014,doi:10.1002/2013gb004684,OpenAlex,https://openalex.org/W2123130493
raw-000539,deduped-000015,doi:10.1002/2013gb004704,OpenAlex,https://openalex.org/W1914253812
raw-001817,deduped-000016,doi:10.1002/2013gl057660,OpenAlex,https://openalex.org/W2161114931
raw-000987,deduped-000017,doi:10.1002/2013gl058172,OpenAlex,https://openalex.org/W2030338097
raw-000269,deduped-000018,doi:10.1002/2013gl058315,OpenAlex,https://openalex.org/W1513349809
raw-000272,deduped-000019,doi:10.1002/2013gl058352,OpenAlex,https://openalex.org/W1514446340
raw-001649,deduped-000020,doi:10.1002/2013gl058454,OpenAlex,https://openalex.org/W2135820794
raw-001473,deduped-000021,doi:10.1002/2013gl058499,OpenAlex,https://openalex.org/W2111711729
raw-000922,deduped-000022,doi:10.1002/2013gl058570,OpenAlex,https://openalex.org/W2019642706
raw-001351,deduped-000023,doi:10.1002/2013gl058650,OpenAlex,https://openalex.org/W2094999543
raw-001403,deduped-000024,doi:10.1002/2013gl058826,OpenAlex,https://openalex.org/W2103061507
raw-000616,deduped-000025,doi:10.1002/2013gl059099,OpenAlex,https://openalex.org/W1962315276
raw-000325,deduped-000026,doi:10.1002/2013jc009069,OpenAlex,https://openalex.org/W1570255027
raw-001390,deduped-000027,doi:10.1002/2013jc009240,OpenAlex,https://openalex.org/W2101580334
raw-001337,deduped-000028,doi:10.1002/2013jc009589,OpenAlex,https://openalex.org/W2092190735
raw-001493,deduped-000029,doi:10.1002/2013jd019886,OpenAlex,https://openalex.org/W2114346312
raw-000450,deduped-000030,doi:10.1002/2013jd020062,OpenAlex,https://openalex.org/W1833167075
raw-001306,deduped-000031,doi:10.1002/2013jd020111,OpenAlex,https://openalex.org/W2086270446
raw-001607,deduped-000032,doi:10.1002/2013jd020290,OpenAlex,https://openalex.org/W2129555922
raw-000346,deduped-000033,doi:10.1002/2013jd020300,OpenAlex,https://openalex.org/W1595056119
raw-000545,deduped-000034,doi:10.1002/2013jd020445,OpenAlex,https://openalex.org/W1916473481
raw-001100,deduped-000035,doi:10.1002/2013jd020630,OpenAlex,https://openalex.org/W2048847463
raw-000593,deduped-000036,doi:10.1002/2013jd020693,OpenAlex,https://openalex.org/W1947806052
raw-000598,deduped-000037,doi:10.1002/2013jd020905,OpenAlex,https://openalex.org/W1950281504
