run_date,database_or_index,query_family,query_id,exact_query_string,filters,window,raw_count,retained_count,notes
2026-05-27T12:09:11-04:00,OpenAlex,scenario variant harvest,openalex-search-rcp8-dot-5-2010-2026-05-27,GET /works?search=RCP8.5,"from_publication_date:2010-01-01,to_publication_date:2026-05-27,type:article,is_paratext:false",2010 through 2026-05-27,20110,20110,"OpenAlex search covers title, abstract, and indexed full text; returned records are classified only from title/abstract/keywords."
2026-05-27T12:09:11-04:00,OpenAlex,scenario variant harvest,openalex-search-rcp-space-8-dot-5-2010-2026-05-27,GET /works?search=RCP 8.5,"from_publication_date:2010-01-01,to_publication_date:2026-05-27,type:article,is_paratext:false",2010 through 2026-05-27,19882,19882,"OpenAlex search covers title, abstract, and indexed full text; returned records are classified only from title/abstract/keywords."
2026-05-27T12:09:11-04:00,OpenAlex,scenario variant harvest,openalex-search-rcp85-2010-2026-05-27,GET /works?search=RCP85,"from_publication_date:2010-01-01,to_publication_date:2026-05-27,type:article,is_paratext:false",2010 through 2026-05-27,731,731,"OpenAlex search covers title, abstract, and indexed full text; returned records are classified only from title/abstract/keywords."
2026-05-27T12:09:11-04:00,OpenAlex,scenario variant harvest,openalex-search-rcp-hyphen-8-dot-5-2010-2026-05-27,GET /works?search=RCP-8.5,"from_publication_date:2010-01-01,to_publication_date:2026-05-27,type:article,is_paratext:false",2010 through 2026-05-27,19882,19882,"OpenAlex search covers title, abstract, and indexed full text; returned records are classified only from title/abstract/keywords."
2026-05-27T12:09:11-04:00,OpenAlex,scenario variant harvest,openalex-search-ssp5-hyphen-8-dot-5-2010-2026-05-27,GET /works?search=SSP5-8.5,"from_publication_date:2010-01-01,to_publication_date:2026-05-27,type:article,is_paratext:false",2010 through 2026-05-27,8584,8584,"OpenAlex search covers title, abstract, and indexed full text; returned records are classified only from title/abstract/keywords."
2026-05-27T12:09:11-04:00,OpenAlex,scenario variant harvest,openalex-search-ssp585-2010-2026-05-27,GET /works?search=SSP585,"from_publication_date:2010-01-01,to_publication_date:2026-05-27,type:article,is_paratext:false",2010 through 2026-05-27,3745,3745,"OpenAlex search covers title, abstract, and indexed full text; returned records are classified only from title/abstract/keywords."
2026-05-27T12:09:11-04:00,Crossref,scenario variant harvest,crossref-query-rcp8-dot-5-2010-2026-05-27,GET /works?query=RCP8.5,"from-pub-date:2010-01-01,until-pub-date:2026-05-27,type:journal-article",2010 through 2026-05-27,7,6,"Crossref query is a relevance search over deposited metadata, not exact full-text search. Large ambiguous result sets are capped before local exact filtering."
2026-05-27T12:09:11-04:00,Crossref,scenario variant harvest,crossref-query-rcp-space-8-dot-5-2010-2026-05-27,GET /works?query=RCP 8.5,"from-pub-date:2010-01-01,until-pub-date:2026-05-27,type:journal-article",2010 through 2026-05-27,1893,156,"Crossref query is a relevance search over deposited metadata, not exact full-text search. Large ambiguous result sets are capped before local exact filtering."
2026-05-27T12:09:11-04:00,Crossref,scenario variant harvest,crossref-query-rcp85-2010-2026-05-27,GET /works?query=RCP85,"from-pub-date:2010-01-01,until-pub-date:2026-05-27,type:journal-article",2010 through 2026-05-27,0,0,"Crossref query is a relevance search over deposited metadata, not exact full-text search. Large ambiguous result sets are capped before local exact filtering."
2026-05-27T12:09:11-04:00,Crossref,scenario variant harvest,crossref-query-rcp-hyphen-8-dot-5-2010-2026-05-27,GET /works?query=RCP-8.5,"from-pub-date:2010-01-01,until-pub-date:2026-05-27,type:journal-article",2010 through 2026-05-27,1893,156,"Crossref query is a relevance search over deposited metadata, not exact full-text search. Large ambiguous result sets are capped before local exact filtering."
